data,dia,mes,ano,campanha,gride,balde,sp,dedos,dedos novos,ident,perdas,recaptura,saco,peso,pesototal,CRC,CC,BC,Quebrada,sexo,ovos,Local,OBS,cont indivíduo,cont capturas,,Problemas
26-abr-22,26,4,2022,260,16,B,Tropidurus_torquatus,NA,80_1,81B,NA,Captura,1.00,2.25,1.25,34.00,49.00,NA,N,I,N,IBGE,,,,,
29-abr-22,29,4,2022,260,19,M,Tropidurus_torquatus,NA,40_7,47B,NA,Recaptura,1.00,21.50,20.50,85.00,121.00,NA,N,F,N,IBGE,FEMEA CONFERIR,,,,
17-mai-22,17,5,2022,261,1,B,Tropidurus_torquatus,NA,80_2,82B,NA,Captura,1.00,29.00,28.00,91.00,138.00,NA,N,M,N,IBGE,CONFERIR ID,,,,
24-mai-22,24,5,2022,261,19,M,Tropidurus_torquatus,NA,40_7,47B,NA,Recaptura,1.00,21.25,20.25,84.00,121.00,NA,N,F,S,IBGE,SEXO FEMEA,,,,
24-mai-22,24,6,2022,261,20,A,Tropidurus_torquatus,NA,80_3,83B,NA,Captura,1.00,12.75,11.75,71.00,105.00,NA,N,F,N,IBGE,DEDO 3 PREDADO,,,,
7-jun-22,7,6,2022,262,3,C,Tropidurus_torquatus,NA,80_4,84B,NA,Captura,0.50,3.75,3.25,46.00,69.00,NA,N,I,N,IBGE,,,,,
7-jun-22,7,6,2022,262,4,M,Tropidurus_torquatus,NA,80,80B,NA,Recaptura,1.00,18.00,17.00,84.00,104.00,102.00,S,F,N,IBGE,RECAPTURA. ID80,,,,
7-jun-22,7,6,2022,262,18,B,Tropidurus_torquatus,NA,100_40,140B,NA,Captura,1.00,21.00,20.00,81.00,123.00,NA,N,F,N,IBGE,DEDO 40 PREDADO. ADIANTOU ID,,,,
7-jun-22,7,6,2022,262,19,M,Tropidurus_torquatus,NA,70_4,74B,NA,Recaptura,1.00,28.25,27.25,92.00,136.00,NA,N,M,N,IBGE,,,,,
21-jun-22,21,6,2022,262,3,B,Tropidurus_torquatus,NA,80_4,84B,NA,Recaptura,0.50,3.50,3.00,46.00,68.00,NA,N,I,N,IBGE,"DEDO 9 PREDADO, PRIMEIRA FALANGE",,,,
8-jul-22,8,7,2022,263,19,M,Tropidurus_torquatus,NA,90_70_3,90_70_3,NA,Captura,1.00,13.00,12.00,72.00,105.00,NA,N,F,N,IBGE,DEDO 90 PREDADO,,,,
26-jul-22,26,7,2022,263,5,M,Tropidurus_torquatus,NA,80,80B,NA,Recaptura,1.00,18.75,17.75,83.00,106.00,NA,N,F,N,IBGE,,,,,
26-jul-22,26,7,2022,263,19,A,Tropidurus_torquatus,NA,60_4,64B,NA,Recaptura,1.00,30.00,29.00,93.00,138.00,NA,N,M,N,IBGE,MASSA:30-1,,,,
9-ago-22,9,8,2022,264,19,M,Tropidurus_torquatus,NA,90_70_3,90_70_3,NA,Recaptura,1.00,15.50,14.50,74.00,61.00,61.00,S,F,N,IBGE,DEDO 90 PREDADO,,,,
12-ago-22,12,8,2022,264,7,M,Tropidurus_torquatus,NA,80_4_2,84B,NA,Recaptura,2.00,28.00,26.00,60.00,143.00,NA,N,M,N,IBGE,DEDO 2 PREDADO,,,,
16-ago-22,16,8,2022,264,16,B,Tropidurus_torquatus,NA,70_9,79B,NA,Recaptura,0.50,6.25,5.75,59.00,84.00,NA,N,F,N,IBGE,,,,,
19-ago-22,19,8,2022,264,3,M,Tropidurus_torquatus,NA,80_6,86B,NA,Captura,1.00,8.25,7.25,62.00,93.00,NA,N,F,N,IBGE,,,,,
19-ago-22,19,8,2022,264,19,M,Tropidurus_torquatus,NA,80_7,87B,NA,Captura,1.00,7.00,6.00,56.00,84.00,NA,N,I,N,IBGE,,,,,
2-set-22,2,9,2022,265,19,M,Tropidurus_torquatus,NA,90_70_3,90_70_3,NA,Recaptura,1.00,16.00,15.00,76.00,61.00,61.00,S,F,N,IBGE,CONFERIR ID,,,,
6-set-22,6,9,2022,265,1,A,Tropidurus_torquatus,NA,80_4,84B,NA,Recaptura,0.50,6.75,6.25,59.00,84.00,NA,N,F,N,IBGE,DEDO 9 PREDADO,,,,
6-set-22,6,9,2022,265,19,A,Tropidurus_torquatus,NA,80_8,88B,NA,Captura,1.00,19.50,18.50,80.00,115.00,NA,N,M,N,IBGE,BALDE 19A,,,,
9-set-22,9,9,2022,265,2,A,Tropidurus_torquatus,NA,80_9,89B,NA,Captura,1.00,7.25,6.25,59.00,86.00,NA,N,F,N,IBGE,,,,,
13-set-22,13,9,2022,265,3,C,Tropidurus_torquatus,NA,80_9,89B,NA,Recaptura,0.50,7.25,6.75,59.00,87.00,NA,N,F,N,IBGE,,,,,
13-set-22,13,9,2022,265,3,C,Tropidurus_torquatus,NA,90,90B,NA,Captura,1.00,8.00,7.00,61.00,94.00,NA,N,F,N,IBGE,,,,,
